Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Total Exp,Exp_in_Current_Role,Years_Since_Last_Promotion,Job_Satisfaction,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
1,58,Male,Single,Finance,Manager,5,114270,24,12,3,3,No,9,48,4,1,1,49,3,No
2,48,Female,Divorced,HR,Assistant,4,84860,18,7,5,2,Yes,9,57,4,1,1,25,1,No
3,34,Female,Married,Marketing,Manager,4,53390,6,4,3,5,Yes,3,55,1,4,3,21,1,Yes
4,27,Female,Divorced,HR,Manager,4,71191,12,9,1,1,No,9,53,3,4,1,46,2,No
5,40,Male,Married,HR,Analyst,1,29734,3,9,1,4,No,1,54,1,1,1,43,4,No
6,58,Male,Married,Finance,Executive,3,106265,25,2,3,5,No,1,42,2,3,4,4,3,Yes
7,38,Male,Married,Sales,Executive,5,44466,3,3,4,3,No,1,58,3,3,4,33,1,Yes
8,42,Female,Married,Marketing,Executive,1,67426,16,8,0,4,Yes,3,45,2,1,4,3,2,No
9,30,Female,Married,IT,Analyst,4,86578,17,10,2,3,Yes,8,42,3,3,1,39,4,No
10,30,Male,Divorced,Sales,Assistant,4,86322,16,14,4,4,Yes,6,41,4,2,1,1,4,No
11,43,Male,Divorced,IT,Manager,3,65685,13,3,7,4,Yes,7,58,1,4,3,34,4,No
12,55,Female,Single,Finance,Analyst,4,105769,25,4,3,1,Yes,6,43,3,1,4,10,2,Yes
13,59,Female,Married,Marketing,Assistant,5,80949,13,11,5,1,Yes,1,38,1,2,3,47,1,No
14,43,Female,Single,Finance,Analyst,2,94433,24,3,3,3,No,5,56,4,2,3,7,1,No
15,22,Female,Divorced,IT,Analyst,4,71311,12,12,4,2,No,7,36,4,1,1,22,3,Yes
16,41,Male,Single,HR,Assistant,3,117051,29,13,6,4,Yes,8,49,1,4,1,5,3,No
17,21,Female,Divorced,Finance,Executive,2,32420,2,14,7,1,Yes,5,41,1,4,3,16,2,No
18,43,Female,Married,Marketing,Manager,5,114184,26,2,9,2,No,8,54,4,2,4,41,4,No
19,49,Male,Single,Finance,Executive,5,81555,14,1,9,3,No,5,31,3,4,3,29,1,No
20,57,Male,Single,Sales,Analyst,5,68385,10,3,7,5,Yes,1,51,3,2,3,5,3,No
21,21,Female,Single,Finance,Assistant,3,88396,19,9,6,1,No,5,55,1,3,2,30,3,No
22,40,Male,Single,IT,Analyst,2,97666,23,14,3,4,No,1,40,1,3,2,34,1,No
23,52,Female,Married,Finance,Executive,5,110274,22,8,3,1,No,4,46,4,1,4,27,1,Yes
24,31,Female,Divorced,Marketing,Executive,4,104558,24,9,1,4,No,8,32,2,3,1,10,1,No
25,41,Male,Divorced,Finance,Executive,2,105849,26,10,8,1,No,6,52,2,4,4,48,4,No
26,44,Male,Married,Finance,Manager,5,124047,29,5,5,3,No,2,37,2,4,1,10,1,No
27,46,Female,Divorced,Marketing,Executive,2,37747,5,5,2,3,Yes,3,36,4,1,2,23,1,No
28,47,Male,Single,Finance,Manager,4,87167,16,14,2,3,Yes,1,45,4,2,1,6,3,No
29,35,Female,Married,Marketing,Manager,1,39998,5,8,0,3,No,6,55,4,3,4,27,2,No
30,34,Female,Divorced,IT,Executive,5,41189,2,14,1,3,No,6,42,2,2,3,14,3,No
31,22,Female,Married,Marketing,Assistant,4,50734,6,13,4,4,Yes,3,57,1,4,2,48,2,Yes
32,56,Male,Married,IT,Analyst,3,112005,28,5,8,4,No,1,34,1,3,4,23,3,Yes
